Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Indice dei prezzi al consumo: (Italia),Carrello della spesa: (Italia),Costo della vita: (Italia),Determinazione dei prezzi: (Italia)
2010-11,20,29,4,6,9
2010-12,21,25,3,6,12
2011-01,25,30,3,7,6
2011-02,23,34,3,7,7
2011-03,22,31,3,6,6
2011-04,18,31,3,6,7
2011-05,20,30,2,7,5
2011-06,21,28,3,7,7
2011-07,18,26,3,9,6
2011-08,17,24,3,9,5
2011-09,20,32,3,6,7
2011-10,19,30,3,7,7
2011-11,28,31,3,7,6
2011-12,23,25,4,8,5
2012-01,28,31,3,8,6
2012-02,21,30,3,8,7
2012-03,27,32,4,8,7
2012-04,18,25,3,9,6
2012-05,21,29,4,7,7
2012-06,21,29,3,8,7
2012-07,18,29,4,10,6
2012-08,14,22,3,10,4
2012-09,18,30,3,8,7
2012-10,22,31,3,7,7
2012-11,18,28,3,7,7
2012-12,17,20,3,7,5
2013-01,24,29,3,10,6
2013-02,19,27,3,9,6
2013-03,17,28,3,9,6
2013-04,22,26,4,8,7
2013-05,21,28,4,8,7
2013-06,18,26,5,8,6
2013-07,15,26,3,9,6
2013-08,11,18,3,9,4
2013-09,16,26,3,8,7
2013-10,19,28,4,8,7
2013-11,23,26,4,8,7
2013-12,17,21,4,8,6
2014-01,25,26,3,14,7
2014-02,22,27,4,12,7
2014-03,20,26,3,11,7
2014-04,22,22,3,9,6
2014-05,22,25,3,9,7
2014-06,19,25,3,10,8
2014-07,15,27,3,10,7
2014-08,19,20,3,12,4
2014-09,17,28,4,9,8
2014-10,18,31,4,9,8
2014-11,16,26,4,8,8
2014-12,17,22,4,9,7
2015-01,26,26,3,10,8
2015-02,21,27,3,10,9
2015-03,21,28,4,10,8
2015-04,17,28,4,9,8
2015-05,20,25,4,10,8
2015-06,18,26,3,10,8
2015-07,14,25,3,11,8
2015-08,12,16,4,11,5
2015-09,15,25,4,9,8
2015-10,16,26,5,9,9
2015-11,16,25,4,8,9
2015-12,18,19,5,9,8
2016-01,23,22,4,10,8
2016-02,22,23,5,9,9
2016-03,18,22,5,9,8
2016-04,18,21,5,11,10
2016-05,19,21,4,9,9
2016-06,18,21,4,9,9
2016-07,12,19,4,10,7
2016-08,10,15,4,10,5
2016-09,15,22,5,9,16
2016-10,17,22,7,10,16
2016-11,18,5,5,3,17
2016-12,19,2,6,3,14
2017-01,26,3,5,7,9
2017-02,24,3,5,5,9
2017-03,24,2,5,6,10
2017-04,23,2,5,9,10
2017-05,24,2,4,8,10
2017-06,20,2,4,8,10
2017-07,13,2,5,9,9
2017-08,14,1,5,10,7
2017-09,17,2,7,9,9
2017-10,17,3,8,8,10
2017-11,20,3,7,9,9
2017-12,18,2,8,9,9
2018-01,24,3,7,11,9
2018-02,24,3,6,9,8
2018-03,20,3,7,9,5
2018-04,18,3,6,9,5
2018-05,27,4,7,8,5
2018-06,20,4,6,9,5
2018-07,15,3,6,10,5
2018-08,16,2,6,11,3
2018-09,19,3,7,8,4
2018-10,21,3,7,6,4
2018-11,22,3,8,8,6
2018-12,19,3,8,8,4
2019-01,23,4,9,10,5
2019-02,23,3,7,9,5
2019-03,20,3,6,8,4
2019-04,18,3,6,8,4
2019-05,20,4,6,9,4
2019-06,21,4,5,9,4
2019-07,16,3,5,9,1
2019-08,13,2,6,10,1
2019-09,17,3,7,9,1
2019-10,19,3,6,9,1
2019-11,18,3,6,8,2
2019-12,17,2,7,8,3
2020-01,21,3,5,10,5
2020-02,18,3,6,8,5
2020-03,26,2,9,5,3
2020-04,31,3,12,6,6
2020-05,30,3,11,5,10
2020-06,20,3,8,6,10
2020-07,15,3,7,6,8
2020-08,16,2,7,7,6
2020-09,16,3,7,6,9
2020-10,17,2,7,5,7
2020-11,20,2,10,5,7
2020-12,19,3,9,6,7
2021-01,24,3,8,7,7
2021-02,32,3,8,6,10
2021-03,31,3,8,6,10
2021-04,28,3,8,6,9
2021-05,35,3,7,6,9
2021-06,27,3,6,7,9
2021-07,21,2,7,7,8
2021-08,18,2,7,8,5
2021-09,27,2,8,7,10
2021-10,33,3,7,7,9
2021-11,39,4,7,7,11
2021-12,46,4,8,6,9
2022-01,52,6,7,9,13
2022-02,65,6,6,11,14
2022-03,71,5,6,13,16
2022-04,60,5,7,11,14
2022-05,68,5,6,11,15
2022-06,78,7,6,12,13
2022-07,74,7,6,12,12
2022-08,56,6,6,13,10
2022-09,74,8,7,11,13
2022-10,74,11,7,9,14
2022-11,81,11,7,9,15
2022-12,58,9,8,9,12
2023-01,82,13,7,12,15
2023-02,71,15,7,11,15
2023-03,78,16,6,11,17
2023-04,57,10,6,11,15
2023-05,65,13,6,10,17
2023-06,65,14,8,10,16
2023-07,59,10,7,12,15
2023-08,62,7,7,13,12
2023-09,70,10,7,10,16
2023-10,100,11,9,10,18
2023-11,72,11,7,10,18
2023-12,54,9,8,11,15
2024-01,61,12,6,12,17
2024-02,55,12,6,11,22
2024-03,47,11,7,11,22
2024-04,45,11,6,11,20
2024-05,48,16,6,10,21
2024-06,42,18,5,9,20
2024-07,38,8,6,11,21
2024-08,38,6,6,12,16
2024-09,37,9,6,10,22
2024-10,42,11,7,9,25
2024-11,47,12,7,10,23
2024-12,44,10,8,9,20
