Categoria: Tutte le categorie

Mese,Inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),tasso BCE: (Italia),spread BTP Bund: (Italia)
2023-09,56,2,1,7,9
2023-10,88,2,1,5,16
2023-11,54,2,1,4,12
2023-12,42,2,1,5,11
2024-01,48,2,1,5,10
2024-02,45,2,< 1,4,6
2024-03,41,2,1,4,7
2024-04,38,2,1,3,5
2024-05,39,2,1,4,4
2024-06,33,3,1,6,6
2024-07,28,3,1,4,6
2024-08,27,1,1,3,5
2024-09,31,2,1,9,5
2024-10,34,3,1,9,5
2024-11,37,2,1,6,5
2024-12,34,2,1,8,6
