Categoria: Tutte le categorie

Mese,Inflazione: (Italia),abbonamento treno: (Italia),car sharing: (Italia),prezzi auto: (Italia),pedaggio autostrada: (Italia)
2015-03,14,5,13,40,6
2015-04,11,5,13,39,10
2015-05,13,5,15,36,13
2015-06,12,5,13,38,13
2015-07,8,5,13,37,11
2015-08,7,6,12,40,15
2015-09,9,12,13,41,12
2015-10,10,7,14,37,12
2015-11,11,6,12,37,7
2015-12,12,4,16,34,7
2016-01,13,5,11,38,8
2016-02,14,5,9,37,8
2016-03,11,5,10,35,6
2016-04,11,4,10,37,7
2016-05,11,4,10,36,6
2016-06,10,4,10,32,13
2016-07,7,5,9,34,16
2016-08,6,6,9,34,10
2016-09,8,15,11,34,7
2016-10,9,10,16,34,7
2016-11,10,7,12,32,9
2016-12,10,5,12,29,11
2017-01,16,7,11,36,7
2017-02,14,6,12,34,5
2017-03,13,6,13,32,7
2017-04,13,5,12,32,12
2017-05,13,5,12,29,13
2017-06,10,5,11,29,12
2017-07,7,6,12,31,10
2017-08,7,7,12,35,13
2017-09,9,12,13,31,9
2017-10,10,8,12,28,12
2017-11,11,6,11,33,8
2017-12,9,4,10,29,7
2018-01,14,7,9,31,8
2018-02,14,5,10,29,10
2018-03,11,5,10,29,13
2018-04,11,5,10,27,11
2018-05,16,6,10,27,8
2018-06,11,6,11,27,10
2018-07,8,6,9,27,19
2018-08,9,7,8,26,16
2018-09,10,16,11,28,11
2018-10,12,9,13,29,10
2018-11,12,6,11,26,11
2018-12,11,5,11,25,8
2019-01,14,6,10,26,10
2019-02,14,6,9,25,11
2019-03,11,6,10,26,11
2019-04,10,5,10,22,10
2019-05,11,6,10,23,11
2019-06,12,6,10,24,17
2019-07,8,6,11,23,13
2019-08,7,7,9,24,15
2019-09,8,16,11,24,15
2019-10,10,9,10,23,12
2019-11,10,6,9,24,8
2019-12,9,4,8,20,11
2020-01,12,6,10,30,14
2020-02,10,5,9,22,9
2020-03,15,3,4,11,2
2020-04,20,2,3,13,2
2020-05,20,3,4,19,4
2020-06,12,4,7,25,10
2020-07,7,4,8,29,14
2020-08,8,5,8,29,15
2020-09,9,10,8,23,11
2020-10,9,5,7,21,7
2020-11,11,2,4,16,3
2020-12,10,2,4,18,4
2021-01,14,3,5,24,4
2021-02,18,3,5,23,5
2021-03,18,2,4,17,4
2021-04,15,3,5,18,5
2021-05,19,4,6,20,9
2021-06,14,4,8,21,14
2021-07,11,4,8,23,16
2021-08,9,6,8,24,19
2021-09,14,13,8,22,12
2021-10,19,8,10,25,11
2021-11,26,6,8,20,10
2021-12,26,3,7,19,8
2022-01,30,4,7,21,8
2022-02,34,5,8,25,11
2022-03,35,7,10,25,12
2022-04,29,5,11,23,15
2022-05,37,5,12,22,14
2022-06,42,5,12,23,19
2022-07,42,5,11,25,19
2022-08,30,8,10,24,20
2022-09,39,18,11,21,15
2022-10,42,12,10,22,12
2022-11,48,7,9,20,11
2022-12,36,5,9,19,11
2023-01,51,8,8,27,13
2023-02,42,6,8,22,10
2023-03,46,6,8,21,11
2023-04,33,6,9,23,14
2023-05,36,6,8,19,12
2023-06,34,6,9,21,15
2023-07,34,6,10,24,16
2023-08,33,8,9,23,17
2023-09,40,18,10,23,12
2023-10,64,10,9,19,11
2023-11,41,7,8,18,10
2023-12,31,5,7,17,10
2024-01,35,6,7,22,11
2024-02,33,6,7,18,9
2024-03,31,5,7,16,10
2024-04,29,6,7,17,13
2024-05,29,5,9,17,13
2024-06,24,6,8,16,14
2024-07,20,5,8,16,16
2024-08,20,7,8,16,17
2024-09,23,16,10,17,13
2024-10,25,9,8,16,13
2024-11,28,6,7,15,12
2024-12,26,5,6,16,12
