Categoria: Tutte le categorie

Mese,Inflazione: (Italia),abbonamento treno: (Italia),abbonamento autobus: (Italia),prezzi auto usate: (Italia),pedaggio autostrada: (Italia)
2009-12,20,2,0,12,6
2010-01,32,4,0,18,5
2010-02,23,4,1,15,5
2010-03,20,5,1,15,4
2010-04,21,5,1,13,5
2010-05,21,5,1,12,5
2010-06,20,4,0,12,6
2010-07,12,3,0,12,10
2010-08,16,5,2,13,9
2010-09,17,9,3,14,5
2010-10,19,8,2,15,5
2010-11,19,4,1,12,4
2010-12,19,3,0,12,3
2011-01,26,5,1,15,4
2011-02,22,6,1,12,4
2011-03,21,5,2,11,5
2011-04,19,5,2,10,5
2011-05,19,6,2,10,5
2011-06,20,5,1,11,7
2011-07,18,4,1,12,9
2011-08,18,7,1,12,12
2011-09,19,13,4,14,5
2011-10,19,8,2,12,5
2011-11,29,5,1,12,4
2011-12,26,5,1,11,4
2012-01,30,8,2,13,6
2012-02,23,6,1,12,4
2012-03,28,7,1,11,5
2012-04,18,6,1,8,6
2012-05,23,6,2,7,6
2012-06,23,6,2,6,7
2012-07,17,7,1,8,10
2012-08,14,8,3,8,11
2012-09,17,16,6,10,6
2012-10,23,10,2,8,5
2012-11,19,7,2,8,5
2012-12,17,6,1,6,5
2013-01,26,7,2,9,5
2013-02,21,6,1,7,4
2013-03,18,6,2,8,5
2013-04,23,6,1,8,7
2013-05,21,6,2,7,7
2013-06,19,6,2,6,9
2013-07,14,6,1,7,10
2013-08,11,8,3,8,13
2013-09,15,18,7,8,7
2013-10,19,9,3,8,6
2013-11,23,7,2,8,7
2013-12,18,6,1,7,9
2014-01,27,8,2,9,10
2014-02,23,7,2,8,9
2014-03,22,7,2,8,9
2014-04,23,6,1,7,10
2014-05,22,7,2,7,9
2014-06,19,7,1,6,9
2014-07,15,7,2,7,12
2014-08,18,9,3,9,16
2014-09,18,19,8,9,9
2014-10,17,11,3,8,8
2014-11,16,8,2,8,8
2014-12,18,5,1,7,8
2015-01,26,7,2,8,8
2015-02,21,8,2,9,8
2015-03,21,7,2,8,9
2015-04,17,7,2,9,15
2015-05,20,7,2,6,19
2015-06,18,7,2,6,20
2015-07,13,7,2,7,17
2015-08,11,10,4,8,22
2015-09,13,18,8,9,19
2015-10,16,11,3,7,17
2015-11,16,9,2,8,11
2015-12,18,6,1,8,10
2016-01,20,8,2,8,12
2016-02,21,8,2,7,12
2016-03,16,7,1,6,8
2016-04,17,6,2,6,11
2016-05,16,6,2,5,10
2016-06,15,6,2,6,19
2016-07,10,8,2,5,25
2016-08,8,10,4,5,16
2016-09,12,23,7,6,11
2016-10,13,14,4,6,10
2016-11,15,10,2,6,13
2016-12,15,7,2,5,17
2017-01,24,10,2,7,11
2017-02,20,9,2,6,8
2017-03,20,8,2,5,10
2017-04,20,7,2,5,18
2017-05,20,8,2,4,20
2017-06,15,8,2,5,18
2017-07,10,9,3,5,15
2017-08,10,10,5,5,19
2017-09,13,18,8,5,13
2017-10,14,13,3,5,18
2017-11,17,9,3,4,12
2017-12,14,7,2,5,11
2018-01,22,10,3,5,13
2018-02,21,8,3,4,15
2018-03,17,8,2,4,20
2018-04,16,8,2,4,17
2018-05,23,9,3,4,12
2018-06,17,9,3,3,16
2018-07,11,9,4,4,28
2018-08,13,10,5,4,24
2018-09,16,24,10,4,16
2018-10,18,13,4,4,15
2018-11,19,9,3,4,17
2018-12,16,7,2,3,12
2019-01,22,9,3,4,15
2019-02,20,9,3,3,16
2019-03,17,9,3,3,16
2019-04,15,8,3,3,15
2019-05,17,8,3,3,16
2019-06,18,9,4,3,25
2019-07,12,9,3,3,19
2019-08,10,10,5,3,23
2019-09,12,25,9,3,22
2019-10,16,13,5,3,19
2019-11,15,9,3,3,12
2019-12,15,6,2,3,16
2020-01,19,9,4,4,20
2020-02,16,7,2,3,14
2020-03,23,4,1,1,3
2020-04,30,3,1,2,2
2020-05,31,5,3,3,6
2020-06,18,7,3,3,15
2020-07,11,7,3,4,21
2020-08,12,7,4,4,22
2020-09,13,15,8,4,17
2020-10,14,7,3,3,11
2020-11,18,3,1,2,5
2020-12,15,2,1,2,6
2021-01,21,5,2,3,6
2021-02,28,5,2,3,8
2021-03,27,3,1,2,6
2021-04,22,4,1,2,8
2021-05,28,6,1,2,14
2021-06,21,7,2,2,22
2021-07,16,5,2,3,24
2021-08,13,9,6,3,28
2021-09,22,19,11,3,18
2021-10,29,12,5,3,17
2021-11,38,8,3,3,15
2021-12,39,4,2,3,12
2022-01,46,6,3,3,12
2022-02,48,8,3,3,17
2022-03,53,10,4,3,18
2022-04,46,7,3,3,23
2022-05,56,8,3,3,22
2022-06,64,8,4,3,28
2022-07,63,8,4,3,29
2022-08,48,12,8,3,30
2022-09,60,28,17,4,23
2022-10,62,17,7,4,19
2022-11,73,11,4,3,17
2022-12,54,7,3,3,16
2023-01,75,12,4,4,20
2023-02,61,9,3,3,15
2023-03,71,8,3,3,17
2023-04,50,9,3,3,21
2023-05,56,8,3,3,18
2023-06,53,9,4,3,23
2023-07,53,9,5,2,25
2023-08,50,12,8,3,26
2023-09,58,28,14,3,19
2023-10,100,15,7,3,17
2023-11,64,10,5,2,15
2023-12,44,7,3,2,15
2024-01,55,10,4,3,16
2024-02,49,9,3,2,14
2024-03,45,8,3,2,15
2024-04,42,8,3,2,19
2024-05,44,8,3,2,19
2024-06,37,9,3,2,21
2024-07,30,8,4,2,24
2024-08,30,11,6,2,26
2024-09,34,23,12,2,19
2024-10,39,13,5,2,20
2024-11,42,9,3,2,19
2024-12,38,7,2,1,18
