Categoria: Tutte le categorie

Mese,inflazione: (Italia),aumento stipendio: (Italia),più caro: (Italia),bonus come richiederlo: (Italia),seconda mano: (Italia)
2010-10,12,1,1,0,29
2010-11,12,1,1,0,27
2010-12,13,1,2,0,24
2011-01,16,2,2,0,30
2011-02,14,3,1,< 1,28
2011-03,14,2,2,0,27
2011-04,12,2,2,0,26
2011-05,13,1,2,0,25
2011-06,13,2,1,0,26
2011-07,12,2,1,0,26
2011-08,11,1,2,0,25
2011-09,12,2,2,0,28
2011-10,12,1,1,0,24
2011-11,19,2,1,0,24
2011-12,17,2,2,0,19
2012-01,19,2,2,0,20
2012-02,15,1,1,0,18
2012-03,18,1,1,0,22
2012-04,11,1,1,0,20
2012-05,14,1,1,0,20
2012-06,15,1,1,0,20
2012-07,11,1,2,0,22
2012-08,9,1,2,0,24
2012-09,11,1,2,0,26
2012-10,15,1,1,0,24
2012-11,12,2,1,0,22
2012-12,11,8,2,0,21
2013-01,17,3,2,0,23
2013-02,13,2,1,0,21
2013-03,12,1,1,0,23
2013-04,15,2,1,0,24
2013-05,14,1,1,0,20
2013-06,12,1,1,0,21
2013-07,9,1,1,0,21
2013-08,7,1,2,0,21
2013-09,10,1,2,0,26
2013-10,12,2,2,0,49
2013-11,15,1,1,0,48
2013-12,11,2,2,0,40
2014-01,18,2,2,0,47
2014-02,14,2,1,0,44
2014-03,14,5,2,0,43
2014-04,15,4,1,0,43
2014-05,14,2,1,0,41
2014-06,13,1,1,0,37
2014-07,9,1,2,0,37
2014-08,12,1,2,0,43
2014-09,11,1,2,0,43
2014-10,11,1,1,< 1,41
2014-11,10,1,2,0,42
2014-12,11,1,2,0,34
2015-01,17,1,2,< 1,39
2015-02,13,1,1,1,39
2015-03,14,1,2,0,26
2015-04,11,1,2,< 1,37
2015-05,13,1,1,0,38
2015-06,12,1,1,0,34
2015-07,8,1,1,0,33
2015-08,7,1,2,0,34
2015-09,9,1,1,0,31
2015-10,10,1,1,< 1,32
2015-11,10,1,2,< 1,33
2015-12,11,1,2,0,28
2016-01,13,1,2,< 1,29
2016-02,13,1,2,0,29
2016-03,10,1,1,< 1,28
2016-04,11,1,1,1,28
2016-05,10,1,2,2,25
2016-06,10,1,1,1,24
2016-07,7,1,1,1,24
2016-08,5,1,2,1,25
2016-09,7,2,1,2,24
2016-10,9,2,1,3,23
2016-11,10,3,1,2,23
2016-12,10,3,2,1,21
2017-01,15,3,1,2,25
2017-02,13,2,1,1,24
2017-03,13,2,1,1,24
2017-04,13,3,1,< 1,21
2017-05,13,2,1,1,22
2017-06,10,2,1,1,21
2017-07,7,2,1,1,23
2017-08,7,2,1,< 1,23
2017-09,9,2,1,1,26
2017-10,9,5,2,1,25
2017-11,11,5,2,3,22
2017-12,9,6,2,1,21
2018-01,14,9,1,1,23
2018-02,14,10,1,1,20
2018-03,11,4,1,1,20
2018-04,10,5,1,< 1,21
2018-05,15,5,1,< 1,19
2018-06,11,3,1,< 1,19
2018-07,7,2,2,< 1,20
2018-08,8,1,2,0,20
2018-09,10,2,2,1,23
2018-10,12,2,2,1,21
2018-11,12,2,2,< 1,20
2018-12,10,2,2,< 1,18
2019-01,14,3,2,1,20
2019-02,13,2,2,< 1,19
2019-03,11,3,2,< 1,18
2019-04,10,4,2,< 1,18
2019-05,11,4,2,< 1,18
2019-06,12,3,1,1,18
2019-07,7,3,1,1,18
2019-08,7,2,2,< 1,19
2019-09,8,3,1,< 1,20
2019-10,10,4,1,1,20
2019-11,10,4,2,1,19
2019-12,9,5,3,1,17
2020-01,12,11,2,2,19
2020-02,10,5,1,3,18
2020-03,15,4,1,6,14
2020-04,19,4,1,11,14
2020-05,20,3,2,42,20
2020-06,11,6,2,21,23
2020-07,7,5,2,27,22
2020-08,8,2,2,24,22
2020-09,8,5,2,21,22
2020-10,9,5,2,11,20
2020-11,11,5,2,17,18
2020-12,10,7,2,8,18
2021-01,13,4,2,6,21
2021-02,18,4,1,6,21
2021-03,17,6,1,8,20
2021-04,14,6,1,10,21
2021-05,18,3,1,9,21
2021-06,14,4,1,13,20
2021-07,10,4,1,8,18
2021-08,8,4,2,8,21
2021-09,13,4,1,6,24
2021-10,19,6,1,6,23
2021-11,25,8,2,11,19
2021-12,25,8,2,4,17
2022-01,30,8,2,6,22
2022-02,34,10,2,12,23
2022-03,36,8,3,12,22
2022-04,28,7,3,8,23
2022-05,37,10,2,24,22
2022-06,42,10,2,27,22
2022-07,40,10,2,16,24
2022-08,29,9,2,11,24
2022-09,38,8,2,20,25
2022-10,43,10,2,15,23
2022-11,48,17,2,12,22
2022-12,35,8,2,9,20
2023-01,50,9,2,10,22
2023-02,40,8,2,9,22
2023-03,47,6,2,6,21
2023-04,31,6,2,7,21
2023-05,33,11,2,6,21
2023-06,34,10,2,5,24
2023-07,33,20,2,5,23
2023-08,33,7,2,5,24
2023-09,39,7,2,8,25
2023-10,64,13,2,8,24
2023-11,37,10,2,6,25
2023-12,30,7,3,5,24
2024-01,35,10,2,7,24
2024-02,32,7,2,8,21
2024-03,27,6,2,7,23
2024-04,27,7,2,5,22
2024-05,28,5,2,4,22
2024-06,24,6,2,4,20
2024-07,20,6,2,3,21
2024-08,19,4,2,2,22
2024-09,22,5,2,5,24
2024-10,25,7,2,4,24
2024-11,29,7,2,9,23
2024-12,25,21,2,4,22
