Categoria: Tutte le categorie

Mese,Inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),aumento tassi: (Italia),spread BTP Bund: (Italia)
2015-01,23,3,19,< 1,4
2015-02,18,3,5,< 1,4
2015-03,18,2,15,1,6
2015-04,15,2,6,< 1,5
2015-05,17,2,5,1,5
2015-06,16,3,4,1,7
2015-07,11,2,3,1,6
2015-08,10,1,2,< 1,4
2015-09,12,2,3,1,3
2015-10,14,2,3,1,3
2015-11,14,2,3,1,3
2015-12,16,2,3,2,3
2016-01,17,3,2,< 1,2
2016-02,18,2,3,< 1,4
2016-03,14,3,3,< 1,3
2016-04,15,2,2,< 1,2
2016-05,14,3,2,1,3
2016-06,13,3,2,1,4
2016-07,9,2,1,0,3
2016-08,7,1,1,1,1
2016-09,10,2,2,1,2
2016-10,12,2,3,1,3
2016-11,13,2,2,1,7
2016-12,13,2,3,1,6
2017-01,21,2,2,1,4
2017-02,18,2,2,1,6
2017-03,17,2,2,2,4
2017-04,17,2,1,1,4
2017-05,18,3,2,1,3
2017-06,13,3,2,1,4
2017-07,9,2,2,< 1,4
2017-08,9,1,3,< 1,4
2017-09,12,2,3,0,4
2017-10,12,2,3,< 1,3
2017-11,15,2,2,1,4
2017-12,13,2,2,1,4
2018-01,19,2,2,1,5
2018-02,19,3,2,1,4
2018-03,15,2,2,1,5
2018-04,14,2,1,< 1,4
2018-05,20,3,6,1,29
2018-06,15,3,9,1,22
2018-07,10,2,2,< 1,9
2018-08,12,1,2,1,16
2018-09,14,2,3,1,21
2018-10,16,2,5,1,50
2018-11,16,3,3,1,33
2018-12,14,2,3,1,26
2019-01,19,2,2,< 1,16
2019-02,18,2,2,0,17
2019-03,15,2,1,< 1,14
2019-04,13,1,1,0,11
2019-05,15,2,1,< 1,17
2019-06,16,3,3,< 1,20
2019-07,10,1,1,< 1,33
2019-08,9,1,2,< 1,32
2019-09,11,2,5,0,21
2019-10,14,2,2,0,12
2019-11,13,2,1,< 1,12
2019-12,12,2,1,0,10
2020-01,16,2,1,< 1,12
2020-02,14,2,1,0,10
2020-03,20,3,8,< 1,31
2020-04,26,3,4,< 1,21
2020-05,27,4,5,< 1,16
2020-06,15,3,2,0,13
2020-07,10,2,1,< 1,11
2020-08,10,1,1,< 1,8
2020-09,11,2,1,< 1,7
2020-10,12,2,1,0,8
2020-11,15,2,1,0,7
2020-12,14,2,1,< 1,6
2021-01,18,2,1,< 1,7
2021-02,24,3,5,< 1,13
2021-03,23,2,1,1,6
2021-04,19,2,1,1,6
2021-05,24,3,1,1,6
2021-06,19,2,1,1,6
2021-07,14,1,1,< 1,4
2021-08,11,1,1,< 1,4
2021-09,18,2,1,1,5
2021-10,25,1,1,1,5
2021-11,33,2,1,1,7
2021-12,34,2,1,< 1,6
2022-01,41,2,1,2,6
2022-02,46,3,1,3,9
2022-03,49,3,1,4,7
2022-04,38,2,1,2,5
2022-05,50,3,2,4,9
2022-06,57,3,2,11,16
2022-07,54,2,1,7,16
2022-08,39,1,1,3,10
2022-09,52,2,1,11,12
2022-10,58,2,1,8,11
2022-11,65,2,1,6,11
2022-12,48,2,1,8,11
2023-01,68,3,1,6,11
2023-02,54,2,1,9,10
2023-03,64,2,1,11,10
2023-04,42,2,1,4,6
2023-05,45,3,1,7,6
2023-06,47,2,1,9,7
2023-07,44,2,1,6,8
2023-08,45,1,1,4,7
2023-09,52,1,1,8,9
2023-10,87,2,1,3,16
2023-11,51,2,< 1,2,12
2023-12,40,2,1,2,11
2024-01,47,2,1,1,10
2024-02,43,2,< 1,1,6
2024-03,37,2,1,1,6
2024-04,36,2,1,1,5
2024-05,38,2,1,1,4
2024-06,32,2,1,1,6
2024-07,27,2,< 1,1,6
2024-08,26,1,1,1,4
2024-09,30,2,1,1,5
2024-10,34,3,< 1,1,5
2024-11,40,2,< 1,1,5
2024-12,34,2,1,< 1,6
