Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Carrello della spesa: (Italia),Determinazione dei prezzi: (Italia),Costo della vita: (Italia),Risparmio: (Italia)
2014-11,11,3,6,6,70
2014-12,11,2,4,6,67
2015-01,17,2,5,7,74
2015-02,14,2,5,6,74
2015-03,14,3,5,7,75
2015-04,11,3,5,6,71
2015-05,13,3,5,7,66
2015-06,12,2,5,6,61
2015-07,9,2,5,8,68
2015-08,8,3,3,8,63
2015-09,10,3,5,6,69
2015-10,11,3,6,6,67
2015-11,10,3,6,5,71
2015-12,12,3,5,6,85
2016-01,15,3,5,6,73
2016-02,15,3,6,6,75
2016-03,12,3,6,6,72
2016-04,12,3,6,7,68
2016-05,12,3,6,6,68
2016-06,12,3,6,6,67
2016-07,8,3,5,6,73
2016-08,7,2,4,6,62
2016-09,10,3,10,6,64
2016-10,11,4,11,6,68
2016-11,12,4,11,2,74
2016-12,13,4,9,2,76
2017-01,17,3,6,5,83
2017-02,16,3,6,3,90
2017-03,15,4,7,4,86
2017-04,15,3,7,6,73
2017-05,16,3,7,5,70
2017-06,13,3,6,5,78
2017-07,9,3,6,6,80
2017-08,9,3,4,6,75
2017-09,11,5,6,6,77
2017-10,11,5,6,5,79
2017-11,13,5,6,6,83
2017-12,12,5,6,6,76
2018-01,16,5,6,7,85
2018-02,16,4,5,6,78
2018-03,13,5,3,6,67
2018-04,12,4,3,6,66
2018-05,18,5,3,6,66
2018-06,13,4,3,6,60
2018-07,10,4,3,6,64
2018-08,11,4,2,7,43
2018-09,12,4,2,5,47
2018-10,14,5,3,4,66
2018-11,15,5,3,5,66
2018-12,12,5,3,5,82
2019-01,16,6,3,6,86
2019-02,15,5,3,6,77
2019-03,13,4,3,5,71
2019-04,12,4,3,5,65
2019-05,13,4,3,6,63
2019-06,14,4,3,6,70
2019-07,11,4,1,6,64
2019-08,9,4,< 1,7,56
2019-09,11,4,1,6,59
2019-10,13,4,1,6,61
2019-11,12,4,1,5,63
2019-12,11,5,2,5,53
2020-01,14,4,3,6,56
2020-02,12,4,3,5,48
2020-03,17,6,2,3,49
2020-04,21,8,4,4,53
2020-05,20,7,7,4,50
2020-06,13,5,6,4,47
2020-07,10,4,5,4,41
2020-08,11,4,4,4,40
2020-09,11,5,6,4,47
2020-10,11,5,5,3,41
2020-11,13,7,5,3,45
2020-12,13,6,5,4,49
2021-01,16,5,5,4,47
2021-02,20,5,6,4,44
2021-03,23,5,7,4,50
2021-04,19,5,6,4,43
2021-05,21,5,6,4,41
2021-06,18,4,6,4,33
2021-07,14,4,5,5,34
2021-08,12,5,4,5,33
2021-09,18,5,6,5,44
2021-10,22,5,6,4,40
2021-11,28,5,7,4,51
2021-12,31,5,6,4,43
2022-01,35,5,9,6,56
2022-02,41,4,9,7,56
2022-03,44,4,10,9,63
2022-04,38,5,9,7,46
2022-05,45,4,10,7,46
2022-06,53,4,9,8,48
2022-07,49,4,8,8,47
2022-08,39,4,7,9,48
2022-09,49,4,9,7,63
2022-10,51,5,9,6,64
2022-11,54,5,10,6,60
2022-12,42,5,8,6,50
2023-01,55,4,10,8,65
2023-02,46,5,10,7,64
2023-03,51,4,11,7,66
2023-04,37,4,10,7,64
2023-05,42,4,11,7,63
2023-06,42,5,11,7,70
2023-07,40,5,10,8,100
2023-08,38,4,8,8,58
2023-09,46,5,10,7,56
2023-10,66,6,12,7,56
2023-11,44,5,12,6,53
2023-12,34,5,10,7,50
2024-01,40,4,11,8,57
2024-02,35,4,15,7,50
2024-03,31,4,14,7,49
2024-04,32,4,13,7,48
2024-05,32,4,14,7,45
2024-06,26,4,13,6,40
2024-07,25,4,13,7,44
2024-08,24,4,11,8,48
2024-09,27,4,14,7,46
2024-10,28,5,17,6,52
2024-11,31,5,15,6,49
2024-12,30,5,13,6,47
