Categoria: Tutte le categorie

Mese,Inflazione: (Italia),affitto casa: (Italia),bolletta acqua: (Italia),assicurazione casa: (Italia),costo mutuo: (Italia)
2018-09,3,72,1,2,1
2018-10,4,67,1,2,1
2018-11,4,63,1,3,1
2018-12,3,49,1,2,1
2019-01,4,72,1,3,1
2019-02,4,71,1,2,1
2019-03,3,75,1,2,1
2019-04,3,68,1,2,1
2019-05,4,69,1,2,1
2019-06,4,82,1,2,1
2019-07,2,78,1,2,1
2019-08,2,75,1,2,< 1
2019-09,3,74,1,2,1
2019-10,3,68,1,2,1
2019-11,3,60,1,3,1
2019-12,3,52,1,2,1
2020-01,4,75,1,3,1
2020-02,3,65,1,2,1
2020-03,5,35,1,2,< 1
2020-04,6,45,1,2,< 1
2020-05,6,80,1,3,1
2020-06,4,100,1,3,1
2020-07,2,91,1,3,1
2020-08,2,79,1,2,1
2020-09,3,73,1,3,1
2020-10,3,60,1,2,1
2020-11,4,54,1,2,1
2020-12,3,51,1,2,1
2021-01,4,72,1,3,1
2021-02,6,72,1,2,1
2021-03,5,65,1,2,1
2021-04,5,74,1,2,1
2021-05,6,77,1,2,1
2021-06,4,82,1,2,1
2021-07,3,77,1,3,1
2021-08,3,76,1,2,1
2021-09,4,70,1,3,1
2021-10,6,65,1,2,1
2021-11,8,60,1,2,1
2021-12,8,53,1,2,1
2022-01,10,73,1,3,1
2022-02,11,74,1,3,1
2022-03,12,76,1,3,1
2022-04,9,73,1,3,1
2022-05,12,73,1,3,1
2022-06,13,79,1,3,1
2022-07,13,79,1,3,1
2022-08,9,73,1,3,1
2022-09,12,70,1,3,1
2022-10,14,68,1,2,1
2022-11,15,60,1,3,1
2022-12,11,50,1,2,1
2023-01,16,68,1,3,1
2023-02,13,64,1,3,1
2023-03,15,69,1,3,1
2023-04,10,66,1,3,1
2023-05,11,62,1,4,1
2023-06,11,65,1,3,1
2023-07,10,70,1,7,1
2023-08,11,65,1,4,1
2023-09,12,62,1,4,1
2023-10,21,58,1,3,1
2023-11,12,49,1,3,1
2023-12,9,44,1,3,1
2024-01,11,61,1,4,1
2024-02,10,51,1,4,1
2024-03,9,52,1,3,1
2024-04,9,49,1,4,1
2024-05,9,49,1,4,1
2024-06,8,49,1,3,1
2024-07,6,55,1,4,1
2024-08,6,52,1,3,1
2024-09,7,53,1,4,1
2024-10,8,50,1,4,1
2024-11,9,44,1,4,1
2024-12,8,38,1,3,1
