Categoria: Tutte le categorie

Mese,Inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),spread BTP Bund: (Italia),debito pubblico: (Italia)
2018-01,20,2,2,5,21
2018-02,19,3,2,4,25
2018-03,15,2,2,6,26
2018-04,15,2,2,4,14
2018-05,21,3,6,31,52
2018-06,15,3,9,23,27
2018-07,10,2,2,9,10
2018-08,12,1,2,17,14
2018-09,14,2,3,22,32
2018-10,16,2,5,54,46
2018-11,17,3,3,34,27
2018-12,14,2,3,27,20
2019-01,20,2,2,17,16
2019-02,18,2,2,17,17
2019-03,15,2,1,14,15
2019-04,14,2,1,11,17
2019-05,16,2,1,18,23
2019-06,16,3,3,21,30
2019-07,11,2,1,34,11
2019-08,9,1,2,33,17
2019-09,11,2,6,22,16
2019-10,14,2,2,13,14
2019-11,13,2,2,13,14
2019-12,13,2,1,10,15
2020-01,17,2,1,12,13
2020-02,14,2,1,11,10
2020-03,21,3,8,33,34
2020-04,27,3,4,22,45
2020-05,28,4,5,16,26
2020-06,16,3,2,14,15
2020-07,10,2,1,12,12
2020-08,11,1,1,8,10
2020-09,12,2,1,7,11
2020-10,13,2,1,9,12
2020-11,16,2,1,8,15
2020-12,14,2,1,6,13
2021-01,19,2,1,7,14
2021-02,25,3,6,13,16
2021-03,24,2,1,7,9
2021-04,20,2,1,6,10
2021-05,26,3,1,6,9
2021-06,20,3,1,6,7
2021-07,14,1,1,5,6
2021-08,12,1,1,5,6
2021-09,20,2,1,6,8
2021-10,26,2,1,5,8
2021-11,35,2,1,7,8
2021-12,35,2,1,6,8
2022-01,42,2,1,6,11
2022-02,47,3,1,10,16
2022-03,48,3,1,7,15
2022-04,40,2,1,6,10
2022-05,50,3,1,9,10
2022-06,59,3,2,16,11
2022-07,54,2,1,16,12
2022-08,41,1,1,11,15
2022-09,55,2,1,13,18
2022-10,57,2,1,12,15
2022-11,65,2,1,12,11
2022-12,48,2,1,11,9
2023-01,69,3,1,12,11
2023-02,54,2,1,10,11
2023-03,64,2,1,10,10
2023-04,42,2,1,6,11
2023-05,49,3,1,6,14
2023-06,48,3,1,8,12
2023-07,48,2,1,8,8
2023-08,48,1,< 1,7,9
2023-09,55,2,1,9,13
2023-10,89,2,1,16,16
2023-11,54,2,< 1,13,11
2023-12,42,2,1,11,15
2024-01,49,2,1,10,13
2024-02,46,2,< 1,6,11
2024-03,38,2,1,7,13
2024-04,38,2,1,5,12
2024-05,39,2,1,4,12
2024-06,34,3,1,6,10
2024-07,27,2,< 1,6,9
2024-08,27,1,1,5,13
2024-09,31,2,1,5,11
2024-10,34,3,< 1,5,13
2024-11,38,2,1,5,11
2024-12,35,2,1,6,12
