Categoria: Tutte le categorie

Mese,Inflazione: (Italia),affitto casa: (Italia),bolletta acqua: (Italia),assicurazione casa: (Italia),costo mutuo: (Italia)
2013-06,4,47,< 1,2,1
2013-07,3,52,< 1,2,< 1
2013-08,2,47,< 1,2,< 1
2013-09,3,41,< 1,2,1
2013-10,4,37,< 1,2,1
2013-11,5,37,< 1,2,1
2013-12,4,31,< 1,2,< 1
2014-01,5,43,< 1,2,1
2014-02,5,42,< 1,2,1
2014-03,4,45,< 1,2,1
2014-04,5,45,1,2,< 1
2014-05,5,48,< 1,2,1
2014-06,4,54,< 1,2,1
2014-07,3,60,< 1,2,1
2014-08,4,56,< 1,2,< 1
2014-09,3,51,1,2,1
2014-10,3,47,1,2,1
2014-11,3,43,1,2,1
2014-12,4,37,1,2,< 1
2015-01,5,51,1,2,1
2015-02,4,48,1,2,1
2015-03,4,53,1,2,1
2015-04,3,52,1,3,1
2015-05,4,57,< 1,2,1
2015-06,4,61,< 1,2,1
2015-07,3,72,1,2,1
2015-08,2,63,< 1,2,< 1
2015-09,3,54,1,2,1
2015-10,3,50,1,2,1
2015-11,3,48,1,2,1
2015-12,4,44,1,2,1
2016-01,4,61,1,2,1
2016-02,4,64,1,2,1
2016-03,3,65,1,2,1
2016-04,3,62,1,2,1
2016-05,3,66,1,2,1
2016-06,3,70,1,2,1
2016-07,2,72,< 1,2,1
2016-08,2,68,1,2,< 1
2016-09,2,66,1,2,1
2016-10,3,58,1,2,1
2016-11,3,57,1,2,1
2016-12,3,47,1,2,1
2017-01,5,66,1,2,1
2017-02,4,70,1,2,1
2017-03,4,65,1,2,1
2017-04,4,67,1,2,1
2017-05,4,69,1,2,1
2017-06,3,79,1,2,1
2017-07,2,84,1,2,< 1
2017-08,2,74,1,2,< 1
2017-09,3,70,1,2,1
2017-10,3,65,1,2,1
2017-11,3,59,1,2,1
2017-12,3,52,< 1,2,1
2018-01,4,73,1,2,1
2018-02,4,65,1,2,1
2018-03,3,68,1,2,1
2018-04,3,70,< 1,2,1
2018-05,5,67,1,2,1
2018-06,3,76,1,2,1
2018-07,2,75,1,2,1
2018-08,3,69,1,2,< 1
2018-09,3,73,1,2,1
2018-10,4,65,1,2,1
2018-11,4,62,1,3,1
2018-12,3,52,1,2,1
2019-01,4,71,1,2,1
2019-02,4,70,1,2,1
2019-03,3,69,1,2,1
2019-04,3,67,1,2,1
2019-05,3,69,1,2,1
2019-06,4,77,1,2,1
2019-07,2,78,1,2,1
2019-08,2,70,1,2,< 1
2019-09,3,73,1,2,1
2019-10,3,66,1,2,1
2019-11,3,63,1,3,1
2019-12,3,52,1,2,1
2020-01,4,72,1,3,1
2020-02,3,63,1,2,1
2020-03,5,36,1,2,< 1
2020-04,6,45,1,2,< 1
2020-05,6,80,1,3,1
2020-06,4,100,1,3,1
2020-07,2,89,1,3,1
2020-08,2,77,1,2,1
2020-09,3,71,1,2,1
2020-10,3,60,1,2,1
2020-11,4,56,1,2,1
2020-12,3,50,1,2,1
2021-01,4,71,1,3,1
2021-02,6,69,1,2,1
2021-03,5,66,1,2,1
2021-04,4,76,1,2,1
2021-05,6,72,1,2,1
2021-06,4,80,1,2,1
2021-07,3,74,1,3,1
2021-08,3,74,1,2,1
2021-09,4,76,1,2,1
2021-10,6,62,1,2,1
2021-11,8,61,1,2,1
2021-12,8,51,1,2,1
2022-01,9,72,1,3,1
2022-02,10,73,1,3,1
2022-03,11,74,1,3,1
2022-04,9,72,1,2,1
2022-05,11,77,1,3,1
2022-06,13,77,1,3,1
2022-07,12,80,1,3,1
2022-08,9,74,1,3,1
2022-09,12,71,1,3,1
2022-10,13,62,1,2,1
2022-11,15,61,1,3,1
2022-12,11,48,1,2,1
2023-01,15,66,1,3,1
2023-02,12,65,1,3,1
2023-03,14,67,1,3,1
2023-04,9,65,1,3,1
2023-05,11,61,1,4,1
2023-06,11,64,1,3,1
2023-07,11,71,1,7,1
2023-08,11,65,1,4,1
2023-09,12,64,1,3,1
2023-10,20,56,1,3,1
2023-11,12,51,1,3,1
2023-12,9,44,1,3,1
2024-01,11,59,1,4,1
2024-02,10,52,1,4,1
2024-03,9,50,1,3,1
2024-04,8,48,1,4,1
2024-05,9,47,1,4,1
2024-06,7,49,1,3,1
2024-07,6,54,1,4,1
2024-08,6,52,1,3,1
2024-09,7,52,1,4,1
2024-10,8,48,1,4,1
2024-11,8,44,1,4,1
2024-12,8,36,1,3,1
