Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo farmaci: (Italia),visita privata: (Italia),costo ticket: (Italia),assicurazione sanitaria: (Italia)
2011-11,30,3,2,5,6
2011-12,26,4,1,4,6
2012-01,30,4,1,5,8
2012-02,23,4,2,5,7
2012-03,29,4,2,5,8
2012-04,18,4,1,5,7
2012-05,22,3,2,6,8
2012-06,23,3,2,6,8
2012-07,18,3,2,6,11
2012-08,14,3,2,5,10
2012-09,18,3,2,7,7
2012-10,24,4,2,7,8
2012-11,20,3,2,7,7
2012-12,17,3,1,4,7
2013-01,26,3,2,7,9
2013-02,22,4,2,6,8
2013-03,18,4,3,6,8
2013-04,23,3,2,7,8
2013-05,22,4,3,7,8
2013-06,19,4,2,6,9
2013-07,15,3,2,7,11
2013-08,12,3,2,6,8
2013-09,15,3,3,7,9
2013-10,20,3,4,7,8
2013-11,24,4,3,7,8
2013-12,18,4,2,5,7
2014-01,28,4,3,8,9
2014-02,23,4,3,8,9
2014-03,22,4,3,7,8
2014-04,24,4,3,7,9
2014-05,23,5,3,8,10
2014-06,20,4,3,7,10
2014-07,15,4,3,7,12
2014-08,19,4,2,6,10
2014-09,17,4,4,9,9
2014-10,18,4,4,9,10
2014-11,16,5,4,8,8
2014-12,18,4,3,6,8
2015-01,26,5,3,8,10
2015-02,21,5,4,9,10
2015-03,21,5,4,9,10
2015-04,18,5,4,9,10
2015-05,20,5,4,9,9
2015-06,18,5,3,7,11
2015-07,13,5,4,7,12
2015-08,11,4,4,6,10
2015-09,14,5,4,8,9
2015-10,16,4,4,8,8
2015-11,16,5,4,9,9
2015-12,18,4,3,6,10
2016-01,20,5,4,9,10
2016-02,22,5,5,10,10
2016-03,17,5,4,9,10
2016-04,17,4,5,9,9
2016-05,16,5,4,10,10
2016-06,15,4,4,7,10
2016-07,10,4,4,7,11
2016-08,9,4,3,7,10
2016-09,12,4,4,9,9
2016-10,13,4,4,9,9
2016-11,15,4,4,10,9
2016-12,15,4,4,7,9
2017-01,24,4,5,10,11
2017-02,21,5,5,11,9
2017-03,20,5,5,11,10
2017-04,20,5,4,10,9
2017-05,21,5,5,10,9
2017-06,15,5,4,9,10
2017-07,11,5,4,7,12
2017-08,10,4,4,7,9
2017-09,14,4,4,9,10
2017-10,14,5,5,9,9
2017-11,17,5,5,10,9
2017-12,15,4,4,6,8
2018-01,22,5,6,10,11
2018-02,22,5,5,10,11
2018-03,17,5,5,9,11
2018-04,16,5,5,9,10
2018-05,24,4,6,9,10
2018-06,17,4,5,8,10
2018-07,12,4,5,8,12
2018-08,14,4,4,8,11
2018-09,16,4,6,9,11
2018-10,18,4,6,10,9
2018-11,19,4,5,9,9
2018-12,16,3,4,6,9
2019-01,22,5,6,9,12
2019-02,21,4,6,10,11
2019-03,17,4,7,11,11
2019-04,15,4,6,8,10
2019-05,18,5,6,10,10
2019-06,18,4,6,8,11
2019-07,12,4,5,8,13
2019-08,10,4,5,7,11
2019-09,13,4,5,10,12
2019-10,16,4,7,10,13
2019-11,15,4,6,11,11
2019-12,15,3,5,7,10
2020-01,19,5,8,10,14
2020-02,16,4,7,9,12
2020-03,24,5,3,4,9
2020-04,31,4,2,2,6
2020-05,31,3,5,5,7
2020-06,18,4,8,7,9
2020-07,11,4,7,8,9
2020-08,12,4,6,6,7
2020-09,13,5,7,9,10
2020-10,14,4,7,8,10
2020-11,18,4,6,6,9
2020-12,16,5,5,5,10
2021-01,21,4,6,8,11
2021-02,28,4,7,10,10
2021-03,27,4,7,9,10
2021-04,23,4,9,10,10
2021-05,29,4,8,10,10
2021-06,22,3,9,9,9
2021-07,16,4,10,8,16
2021-08,13,4,8,8,11
2021-09,22,4,11,10,11
2021-10,29,4,10,9,11
2021-11,39,4,11,10,13
2021-12,40,4,9,7,12
2022-01,48,5,11,9,16
2022-02,53,5,13,10,15
2022-03,54,5,14,11,15
2022-04,45,5,12,11,14
2022-05,56,5,15,10,16
2022-06,66,4,13,9,15
2022-07,61,4,12,8,17
2022-08,46,4,11,9,15
2022-09,62,4,12,10,14
2022-10,64,5,13,11,14
2022-11,74,5,13,11,15
2022-12,54,5,11,8,14
2023-01,77,5,14,10,20
2023-02,61,5,15,11,19
2023-03,71,5,16,11,18
2023-04,47,5,14,11,19
2023-05,55,5,16,11,19
2023-06,54,5,15,9,19
2023-07,54,4,14,10,20
2023-08,54,4,13,8,20
2023-09,62,4,16,11,20
2023-10,100,4,19,11,19
2023-11,61,5,16,9,19
2023-12,47,5,14,8,19
2024-01,55,5,17,10,28
2024-02,52,4,17,10,24
2024-03,43,4,18,10,24
2024-04,42,3,18,10,22
2024-05,44,4,17,10,23
2024-06,38,4,17,9,22
2024-07,30,3,15,8,23
2024-08,30,3,13,7,20
2024-09,34,3,16,9,22
2024-10,38,4,17,10,24
2024-11,43,4,17,10,22
2024-12,39,3,14,7,23
