Categoria: Tutte le categorie

Mese,Inflazione: (Italia),menu ristorante: (Italia),prezzo libro: (Italia),biglietto cinema: (Italia),costo vacanza: (Italia)
2018-02,8,28,3,6,1
2018-03,6,42,3,4,1
2018-04,6,26,2,3,1
2018-05,8,23,3,3,1
2018-06,6,26,4,2,1
2018-07,4,28,3,1,1
2018-08,5,41,2,4,1
2018-09,6,32,4,5,1
2018-10,6,30,3,4,1
2018-11,7,39,3,5,1
2018-12,6,53,5,6,1
2019-01,8,29,3,7,1
2019-02,7,33,3,4,1
2019-03,6,38,2,4,1
2019-04,5,46,3,7,1
2019-05,6,27,3,4,1
2019-06,6,29,2,2,1
2019-07,4,36,2,3,1
2019-08,4,48,2,6,2
2019-09,4,34,6,6,1
2019-10,6,32,4,6,1
2019-11,5,43,3,6,1
2019-12,5,55,4,9,1
2020-01,6,33,3,11,1
2020-02,5,36,2,3,1
2020-03,8,9,2,< 1,< 1
2020-04,11,10,3,< 1,< 1
2020-05,11,15,3,< 1,1
2020-06,6,31,3,< 1,1
2020-07,4,46,2,< 1,1
2020-08,4,68,2,1,1
2020-09,5,41,3,3,1
2020-10,5,27,3,1,< 1
2020-11,6,14,4,< 1,< 1
2020-12,5,21,5,< 1,1
2021-01,7,14,3,< 1,1
2021-02,10,25,3,< 1,1
2021-03,10,14,3,< 1,1
2021-04,8,14,3,< 1,1
2021-05,10,29,2,1,1
2021-06,8,39,2,2,1
2021-07,6,45,2,3,2
2021-08,5,63,2,3,1
2021-09,8,38,3,3,1
2021-10,10,35,3,4,1
2021-11,14,34,3,4,< 1
2021-12,14,39,3,5,1
2022-01,17,23,3,3,1
2022-02,18,34,2,3,1
2022-03,19,33,3,3,1
2022-04,16,46,2,3,2
2022-05,19,33,2,3,2
2022-06,23,37,3,3,2
2022-07,21,45,2,2,2
2022-08,16,59,3,3,2
2022-09,22,42,3,5,1
2022-10,22,46,3,4,1
2022-11,26,46,3,4,1
2022-12,19,61,4,8,1
2023-01,27,45,4,7,2
2023-02,21,47,3,4,1
2023-03,25,54,3,4,1
2023-04,16,56,3,6,1
2023-05,19,42,3,5,1
2023-06,19,57,2,6,1
2023-07,19,75,2,9,2
2023-08,19,100,3,7,2
2023-09,21,70,3,7,1
2023-10,35,62,3,5,1
2023-11,21,58,3,8,1
2023-12,16,64,4,7,1
2024-01,19,43,3,7,2
2024-02,18,48,2,4,1
2024-03,15,59,2,4,1
2024-04,15,45,2,3,1
2024-05,15,42,3,2,1
2024-06,13,47,2,8,1
2024-07,11,58,3,4,2
2024-08,11,73,2,4,2
2024-09,12,48,2,3,1
2024-10,13,40,3,4,1
2024-11,15,50,3,7,1
2024-12,14,55,3,7,1
