Categoria: Tutte le categorie

Mese,Inflazione: (Italia),abbonamento treno: (Italia),abbonamento autobus: (Italia),pedaggio autostrada: (Italia),assicurazione auto: (Italia)
2022-08,24,6,4,15,61
2022-09,32,14,9,12,69
2022-10,33,9,4,10,68
2022-11,38,6,2,9,62
2022-12,28,4,2,8,63
2023-01,39,6,2,10,80
2023-02,31,5,2,8,76
2023-03,37,4,2,9,76
2023-04,24,5,2,11,72
2023-05,28,4,2,9,84
2023-06,28,4,2,12,85
2023-07,28,5,2,13,98
2023-08,27,6,4,14,78
2023-09,32,14,8,10,85
2023-10,51,8,4,9,87
2023-11,31,5,3,8,78
2023-12,24,4,2,8,81
2024-01,28,5,2,8,100
2024-02,27,5,1,7,82
2024-03,22,4,1,8,81
2024-04,22,4,2,10,80
2024-05,23,4,2,10,85
2024-06,19,4,2,11,81
2024-07,16,4,2,12,82
2024-08,15,6,3,13,74
2024-09,18,12,6,10,87
2024-10,19,7,3,10,88
2024-11,22,5,2,10,82
2024-12,20,4,1,9,79
