Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo pane: (Italia),prezzo latte: (Italia),prezzo pasta: (Italia),prezzo olio: (Italia)
2022-08,54,3,10,10,29
2022-09,62,5,12,11,28
2022-10,64,5,12,12,41
2022-11,74,4,12,12,40
2022-12,54,4,12,14,31
2023-01,78,4,13,12,31
2023-02,64,4,12,12,30
2023-03,71,4,11,11,29
2023-04,50,4,12,11,28
2023-05,56,4,11,10,27
2023-06,55,3,10,9,28
2023-07,52,3,9,9,30
2023-08,51,4,10,13,32
2023-09,60,4,10,11,40
2023-10,100,4,10,11,51
2023-11,62,4,11,12,59
2023-12,46,4,11,14,44
2024-01,56,4,10,12,36
2024-02,50,3,9,9,30
2024-03,45,3,10,9,29
2024-04,43,3,9,8,26
2024-05,43,3,8,8,26
2024-06,38,3,8,7,24
2024-07,30,2,8,7,23
2024-08,30,3,8,7,25
2024-09,35,3,8,7,28
2024-10,39,3,9,9,43
2024-11,44,5,9,10,47
2024-12,39,3,10,11,32
