Categoria: Tutte le categorie

Mese,Inflazione: (Italia),aumento stipendio: (Italia),più caro: (Italia),bonus come richiederlo: (Italia),caro vita: (Italia)
2015-04,18,2,3,0,1
2015-05,20,2,2,< 1,1
2015-06,18,2,2,0,1
2015-07,13,2,2,0,1
2015-08,11,1,2,0,1
2015-09,14,2,2,0,1
2015-10,16,2,2,< 1,1
2015-11,16,2,2,< 1,1
2015-12,18,2,3,0,1
2016-01,20,2,3,1,1
2016-02,22,2,3,0,1
2016-03,17,2,2,1,1
2016-04,17,2,2,1,1
2016-05,16,2,2,3,1
2016-06,15,2,2,1,1
2016-07,10,2,2,1,1
2016-08,9,2,3,1,1
2016-09,12,3,2,4,1
2016-10,13,3,2,5,1
2016-11,15,4,2,4,1
2016-12,15,5,3,2,1
2017-01,24,4,2,3,1
2017-02,21,4,2,2,1
2017-03,20,4,2,1,1
2017-04,20,4,2,1,1
2017-05,21,3,2,1,1
2017-06,15,3,2,1,< 1
2017-07,11,4,2,1,1
2017-08,10,3,2,1,1
2017-09,14,3,2,1,1
2017-10,14,8,2,1,1
2017-11,17,8,2,4,1
2017-12,15,10,3,2,1
2018-01,22,15,2,1,1
2018-02,22,15,2,1,1
2018-03,17,6,2,1,1
2018-04,16,8,2,1,1
2018-05,24,8,2,< 1,1
2018-06,17,4,2,1,1
2018-07,12,2,2,1,1
2018-08,14,2,2,< 1,1
2018-09,16,3,3,1,1
2018-10,18,3,2,1,1
2018-11,19,3,2,1,1
2018-12,16,3,3,1,1
2019-01,22,4,3,1,1
2019-02,21,4,2,1,1
2019-03,17,5,3,1,1
2019-04,15,6,2,1,1
2019-05,18,6,3,1,1
2019-06,18,4,2,1,1
2019-07,12,5,2,1,1
2019-08,10,3,3,1,1
2019-09,13,5,3,1,1
2019-10,16,6,2,1,1
2019-11,15,6,3,1,1
2019-12,15,9,4,1,1
2020-01,19,17,3,3,1
2020-02,16,7,2,5,1
2020-03,24,6,2,9,1
2020-04,31,6,2,17,1
2020-05,31,5,3,66,1
2020-06,18,9,3,35,1
2020-07,11,8,3,43,1
2020-08,12,3,3,39,1
2020-09,13,7,3,33,1
2020-10,14,7,3,17,1
2020-11,18,8,3,28,1
2020-12,16,11,3,13,1
2021-01,21,7,3,10,1
2021-02,28,6,2,9,1
2021-03,27,10,2,13,1
2021-04,23,9,2,16,1
2021-05,29,6,2,15,1
2021-06,22,7,2,20,1
2021-07,16,7,2,13,1
2021-08,13,6,3,13,1
2021-09,22,7,2,10,1
2021-10,29,9,2,9,1
2021-11,39,13,3,17,1
2021-12,40,12,4,6,2
2022-01,48,13,3,9,1
2022-02,53,16,4,18,1
2022-03,54,13,5,19,2
2022-04,45,12,4,12,1
2022-05,56,16,4,41,2
2022-06,66,15,3,39,2
2022-07,61,17,3,25,2
2022-08,46,15,4,17,2
2022-09,62,12,3,32,2
2022-10,64,15,4,24,2
2022-11,74,27,4,20,2
2022-12,54,13,4,14,2
2023-01,77,14,3,16,2
2023-02,61,12,3,15,2
2023-03,71,9,3,9,1
2023-04,47,10,3,11,1
2023-05,55,18,3,9,1
2023-06,54,16,3,8,2
2023-07,54,31,4,9,1
2023-08,54,11,4,8,2
2023-09,62,11,3,13,2
2023-10,100,21,3,13,1
2023-11,61,16,3,9,1
2023-12,47,11,4,7,1
2024-01,55,16,3,11,1
2024-02,52,11,3,13,1
2024-03,43,9,3,12,1
2024-04,42,11,2,8,1
2024-05,44,8,3,6,1
2024-06,38,10,3,6,1
2024-07,30,9,4,5,1
2024-08,30,7,3,4,1
2024-09,34,8,3,8,1
2024-10,38,11,3,7,1
2024-11,43,11,4,15,1
2024-12,39,33,4,6,1
