Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Carrello della spesa: (Italia),Determinazione dei prezzi: (Italia),Costo della vita: (Italia),Potere d'acquisto: (Italia)
2020-02,18,6,5,7,1
2020-03,25,9,3,5,2
2020-04,31,12,6,6,2
2020-05,32,11,10,5,2
2020-06,20,8,10,6,2
2020-07,15,7,8,6,1
2020-08,16,7,6,7,1
2020-09,17,7,9,6,1
2020-10,17,7,8,5,1
2020-11,20,11,8,5,2
2020-12,19,9,7,6,2
2021-01,25,8,7,7,2
2021-02,32,8,10,6,1
2021-03,32,8,10,6,2
2021-04,28,8,9,6,2
2021-05,36,8,9,6,2
2021-06,28,6,9,7,1
2021-07,21,7,8,7,1
2021-08,19,7,5,8,1
2021-09,27,8,10,7,1
2021-10,35,7,9,7,2
2021-11,42,7,11,7,2
2021-12,44,8,9,6,2
2022-01,53,7,13,9,2
2022-02,63,6,14,11,2
2022-03,66,6,16,13,3
2022-04,60,7,14,11,2
2022-05,69,6,15,11,3
2022-06,78,6,14,12,3
2022-07,75,6,12,12,2
2022-08,58,6,10,13,2
2022-09,76,7,13,11,2
2022-10,77,7,14,9,2
2022-11,85,7,15,9,2
2022-12,66,8,12,10,2
2023-01,82,7,15,12,2
2023-02,72,7,16,10,2
2023-03,79,7,17,11,2
2023-04,55,6,16,11,2
2023-05,64,6,17,10,2
2023-06,64,8,16,10,2
2023-07,59,7,15,11,2
2023-08,58,7,12,13,2
2023-09,69,7,16,10,2
2023-10,100,10,18,10,2
2023-11,72,7,18,10,2
2023-12,51,8,15,11,2
2024-01,61,7,18,12,3
2024-02,54,6,22,11,3
2024-03,46,7,22,11,2
2024-04,44,6,20,11,2
2024-05,45,6,21,10,3
2024-06,41,5,20,9,2
2024-07,36,6,20,11,2
2024-08,37,6,16,12,2
2024-09,39,6,22,10,2
2024-10,43,7,25,9,3
2024-11,48,7,23,10,3
2024-12,46,8,20,10,2
2025-01,54,7,24,11,3
