Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo farmaci: (Italia),visita privata: (Italia),costo ticket: (Italia),assicurazione sanitaria: (Italia)
2012-06,23,3,1,6,8
2012-07,18,3,2,6,11
2012-08,14,3,2,5,10
2012-09,17,3,2,7,7
2012-10,23,4,2,6,7
2012-11,19,4,2,7,7
2012-12,17,3,1,4,7
2013-01,26,3,2,7,9
2013-02,21,4,2,6,8
2013-03,18,4,3,6,8
2013-04,23,4,2,7,8
2013-05,21,3,2,7,8
2013-06,19,4,2,6,8
2013-07,15,3,2,7,11
2013-08,12,3,2,6,9
2013-09,15,3,3,7,9
2013-10,19,3,3,8,8
2013-11,24,4,3,7,8
2013-12,18,4,2,5,7
2014-01,27,4,3,7,9
2014-02,23,4,3,7,9
2014-03,22,4,3,7,8
2014-04,24,4,3,7,9
2014-05,22,5,3,8,10
2014-06,20,4,3,7,9
2014-07,15,4,3,7,12
2014-08,18,4,2,6,10
2014-09,17,4,3,8,9
2014-10,18,4,3,9,10
2014-11,16,5,3,8,8
2014-12,18,4,3,6,8
2015-01,26,5,3,9,10
2015-02,21,5,3,9,10
2015-03,21,5,4,9,10
2015-04,17,5,4,9,10
2015-05,20,5,4,9,9
2015-06,18,5,3,7,11
2015-07,13,4,4,7,13
2015-08,11,4,3,6,10
2015-09,13,5,4,8,9
2015-10,16,4,3,8,8
2015-11,17,5,4,9,9
2015-12,18,4,3,6,10
2016-01,20,5,4,9,10
2016-02,21,5,5,10,10
2016-03,16,5,4,9,10
2016-04,17,4,4,9,9
2016-05,16,5,5,10,10
2016-06,15,4,4,8,10
2016-07,10,4,4,7,11
2016-08,8,4,3,7,10
2016-09,12,5,4,9,9
2016-10,13,4,4,9,8
2016-11,15,5,4,10,9
2016-12,15,4,4,7,9
2017-01,24,4,5,10,11
2017-02,21,5,5,11,9
2017-03,20,5,5,11,10
2017-04,20,4,4,9,9
2017-05,20,4,5,10,9
2017-06,15,4,4,9,10
2017-07,11,5,4,7,12
2017-08,10,4,4,7,10
2017-09,13,4,4,9,10
2017-10,14,5,5,9,9
2017-11,17,5,5,9,9
2017-12,14,4,4,6,8
2018-01,22,5,6,9,11
2018-02,22,5,5,10,11
2018-03,17,5,5,9,10
2018-04,16,5,5,9,9
2018-05,24,5,6,8,10
2018-06,17,4,5,8,10
2018-07,12,4,5,7,12
2018-08,13,4,4,8,11
2018-09,16,4,6,9,11
2018-10,18,4,6,9,8
2018-11,19,4,5,9,9
2018-12,16,3,4,6,10
2019-01,22,5,6,9,12
2019-02,21,4,6,9,11
2019-03,17,4,7,11,11
2019-04,16,4,6,8,10
2019-05,17,4,6,10,10
2019-06,18,4,6,8,11
2019-07,12,4,5,8,13
2019-08,10,4,5,7,11
2019-09,13,4,5,10,12
2019-10,16,4,6,10,13
2019-11,15,4,6,11,11
2019-12,14,4,5,7,10
2020-01,19,5,8,10,14
2020-02,16,4,6,10,11
2020-03,24,5,3,4,8
2020-04,30,4,3,2,6
2020-05,31,4,5,5,6
2020-06,18,4,8,7,9
2020-07,11,4,7,8,9
2020-08,12,4,6,6,7
2020-09,13,5,7,9,10
2020-10,14,4,7,8,9
2020-11,18,4,5,6,8
2020-12,16,5,5,5,9
2021-01,21,5,7,8,11
2021-02,28,4,7,10,10
2021-03,27,5,7,9,10
2021-04,23,4,9,10,9
2021-05,29,4,8,10,10
2021-06,22,3,10,9,9
2021-07,16,4,10,8,16
2021-08,13,4,8,8,11
2021-09,22,4,11,10,11
2021-10,29,4,10,9,12
2021-11,39,3,11,10,13
2021-12,39,4,9,7,12
2022-01,45,4,11,9,16
2022-02,51,5,13,10,15
2022-03,54,5,14,11,15
2022-04,49,5,12,10,14
2022-05,53,5,14,10,16
2022-06,66,4,13,9,15
2022-07,61,4,12,8,17
2022-08,48,4,11,9,15
2022-09,62,4,12,10,15
2022-10,69,5,13,11,14
2022-11,73,5,13,11,15
2022-12,57,5,11,8,15
2023-01,75,5,15,10,21
2023-02,63,5,15,11,20
2023-03,70,5,17,11,19
2023-04,50,5,14,10,18
2023-05,55,5,16,11,19
2023-06,54,5,15,9,19
2023-07,53,4,14,10,21
2023-08,53,4,13,8,20
2023-09,62,4,15,11,20
2023-10,100,4,18,11,19
2023-11,62,5,16,9,19
2023-12,46,5,14,8,19
2024-01,56,5,17,10,28
2024-02,48,4,16,10,23
2024-03,43,4,18,10,24
2024-04,43,3,18,10,22
2024-05,45,4,16,10,22
2024-06,37,4,16,9,21
2024-07,31,3,15,8,23
2024-08,30,3,13,7,20
2024-09,34,3,16,8,21
2024-10,38,4,17,10,23
2024-11,42,4,16,10,22
2024-12,39,3,14,7,23
2025-01,43,4,19,9,29
