Categoria: Tutte le categorie

Mese,inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),spread BTP Bund: (Italia),debito pubblico: (Italia)
2016-07,9,2,1,3,8
2016-08,7,1,1,2,9
2016-09,10,2,2,2,13
2016-10,11,2,2,3,11
2016-11,13,2,2,7,15
2016-12,13,2,3,6,15
2017-01,20,2,2,4,12
2017-02,17,2,2,6,16
2017-03,17,2,2,4,10
2017-04,17,2,1,4,10
2017-05,18,2,2,3,12
2017-06,13,3,2,4,10
2017-07,9,2,2,4,11
2017-08,9,1,2,4,8
2017-09,12,2,3,4,10
2017-10,12,2,3,3,10
2017-11,14,2,2,4,12
2017-12,13,2,2,4,12
2018-01,19,2,2,5,19
2018-02,19,3,2,4,24
2018-03,15,2,2,5,25
2018-04,14,2,1,4,13
2018-05,20,3,6,29,48
2018-06,15,3,9,22,26
2018-07,10,2,2,9,10
2018-08,11,1,2,16,14
2018-09,13,2,3,21,31
2018-10,15,2,5,54,43
2018-11,16,2,3,33,25
2018-12,14,2,3,25,19
2019-01,18,2,2,16,15
2019-02,18,2,2,16,16
2019-03,14,2,1,14,15
2019-04,13,1,1,10,16
2019-05,14,2,1,17,21
2019-06,16,3,3,19,28
2019-07,10,1,1,33,11
2019-08,9,1,2,31,16
2019-09,11,2,5,21,15
2019-10,14,2,2,12,13
2019-11,13,2,2,12,13
2019-12,12,1,1,9,14
2020-01,16,2,1,12,13
2020-02,13,2,1,10,10
2020-03,20,3,8,30,31
2020-04,26,3,4,21,42
2020-05,26,3,5,16,24
2020-06,15,3,2,13,14
2020-07,9,2,1,11,11
2020-08,10,1,1,8,9
2020-09,11,2,1,7,10
2020-10,12,2,1,8,12
2020-11,15,2,1,7,14
2020-12,13,2,1,5,12
2021-01,18,2,1,7,14
2021-02,24,2,5,12,15
2021-03,23,2,1,6,9
2021-04,19,2,1,6,10
2021-05,25,3,1,6,8
2021-06,19,2,1,6,7
2021-07,14,1,1,4,5
2021-08,11,1,< 1,5,6
2021-09,18,2,1,5,7
2021-10,25,2,1,5,7
2021-11,33,2,1,7,8
2021-12,34,2,1,6,8
2022-01,38,2,1,6,11
2022-02,46,2,1,9,16
2022-03,46,3,1,7,14
2022-04,38,2,1,5,10
2022-05,48,3,1,8,10
2022-06,59,3,2,15,11
2022-07,53,2,1,15,11
2022-08,39,1,1,10,14
2022-09,52,2,1,12,17
2022-10,54,2,1,11,15
2022-11,60,2,1,11,11
2022-12,48,2,1,11,9
2023-01,62,3,1,11,10
2023-02,53,2,1,10,11
2023-03,61,2,1,10,10
2023-04,44,2,1,6,11
2023-05,46,3,1,6,14
2023-06,47,2,1,7,11
2023-07,43,2,< 1,7,8
2023-08,45,1,< 1,7,8
2023-09,51,1,1,8,13
2023-10,83,2,1,15,15
2023-11,53,2,< 1,12,11
2023-12,38,1,1,11,14
2024-01,45,2,1,9,12
2024-02,42,2,1,6,10
2024-03,38,2,1,6,12
2024-04,36,2,1,5,11
2024-05,38,2,1,4,11
2024-06,32,2,1,6,10
2024-07,26,2,1,5,9
2024-08,25,1,1,4,12
2024-09,29,2,1,4,11
2024-10,35,3,< 1,5,12
2024-11,37,2,1,5,11
2024-12,33,2,1,5,12
2025-01,38,2,1,5,14
