Categoria: Tutte le categorie

Mese,inflazione: (Italia),aumento stipendio: (Italia),più caro: (Italia),bonus come richiederlo: (Italia),caro vita: (Italia)
2014-05,23,3,2,0,1
2014-06,20,1,2,0,1
2014-07,15,1,3,0,1
2014-08,19,1,3,0,1
2014-09,18,2,3,0,1
2014-10,18,2,2,< 1,1
2014-11,16,2,3,0,1
2014-12,18,2,4,0,1
2015-01,27,2,3,1,1
2015-02,21,2,3,< 1,< 1
2015-03,22,2,3,< 1,1
2015-04,18,2,3,0,1
2015-05,21,2,2,< 1,1
2015-06,19,2,2,0,1
2015-07,13,2,2,0,1
2015-08,12,1,3,0,1
2015-09,14,2,2,0,1
2015-10,16,2,2,0,1
2015-11,17,2,3,0,1
2015-12,19,2,3,0,1
2016-01,21,2,2,0,1
2016-02,22,2,3,0,1
2016-03,17,2,2,1,1
2016-04,18,2,2,1,1
2016-05,17,2,2,3,1
2016-06,16,2,2,1,1
2016-07,11,2,2,1,1
2016-08,9,2,3,1,1
2016-09,12,3,2,4,1
2016-10,14,4,2,5,1
2016-11,15,5,2,4,1
2016-12,15,5,3,2,1
2017-01,24,4,2,3,1
2017-02,21,3,2,2,1
2017-03,21,4,2,1,1
2017-04,21,4,2,1,1
2017-05,21,3,2,2,1
2017-06,15,3,2,1,1
2017-07,11,4,2,1,1
2017-08,11,3,2,1,1
2017-09,14,4,2,1,1
2017-10,14,8,3,1,1
2017-11,17,8,2,4,1
2017-12,15,10,3,2,1
2018-01,23,15,2,2,1
2018-02,23,15,2,1,1
2018-03,18,7,2,1,1
2018-04,17,8,2,1,1
2018-05,24,8,2,1,1
2018-06,18,4,2,1,1
2018-07,12,3,3,1,1
2018-08,13,2,2,< 1,1
2018-09,16,3,3,1,1
2018-10,18,3,3,1,1
2018-11,20,3,3,1,1
2018-12,17,3,3,1,1
2019-01,22,4,4,1,1
2019-02,21,4,3,1,1
2019-03,17,5,3,< 1,1
2019-04,16,6,2,1,1
2019-05,17,6,3,1,1
2019-06,19,5,2,1,1
2019-07,12,6,2,1,1
2019-08,11,3,3,1,1
2019-09,13,5,2,1,1
2019-10,16,7,2,1,1
2019-11,16,6,3,1,1
2019-12,15,9,4,2,1
2020-01,19,17,3,3,1
2020-02,16,7,2,5,1
2020-03,24,6,2,10,1
2020-04,31,6,2,18,1
2020-05,32,5,3,68,1
2020-06,18,9,3,35,1
2020-07,11,8,3,44,1
2020-08,12,3,3,40,1
2020-09,13,7,3,34,< 1
2020-10,14,7,3,17,1
2020-11,18,8,2,28,1
2020-12,16,11,3,13,1
2021-01,21,7,3,10,1
2021-02,28,6,2,10,1
2021-03,28,10,2,13,1
2021-04,23,9,2,16,1
2021-05,30,6,2,15,1
2021-06,22,7,2,21,1
2021-07,17,7,2,13,1
2021-08,14,6,3,13,1
2021-09,22,7,2,10,1
2021-10,30,10,2,10,1
2021-11,40,13,3,18,1
2021-12,41,12,4,7,2
2022-01,46,13,3,10,1
2022-02,55,16,4,19,1
2022-03,56,13,5,19,2
2022-04,46,12,4,12,1
2022-05,58,16,4,40,2
2022-06,71,15,4,42,3
2022-07,64,17,3,26,2
2022-08,47,15,4,18,1
2022-09,63,12,4,33,2
2022-10,65,16,4,25,2
2022-11,72,28,4,20,2
2022-12,58,14,4,14,2
2023-01,75,14,3,16,2
2023-02,64,13,3,15,2
2023-03,73,10,3,10,1
2023-04,52,10,3,11,1
2023-05,55,18,3,9,1
2023-06,56,16,3,8,2
2023-07,52,32,4,9,1
2023-08,55,12,4,8,2
2023-09,61,11,3,13,2
2023-10,100,21,3,14,1
2023-11,64,17,3,9,1
2023-12,46,12,4,7,1
2024-01,54,17,3,11,1
2024-02,51,11,3,13,1
2024-03,46,9,3,12,1
2024-04,43,12,3,9,1
2024-05,45,9,3,6,1
2024-06,38,10,3,6,1
2024-07,32,10,4,5,1
2024-08,31,7,3,4,1
2024-09,35,8,3,8,1
2024-10,42,11,3,7,1
2024-11,44,12,4,15,1
2024-12,40,34,4,7,2
2025-01,45,15,4,10,1
