Categoria: Tutte le categorie

Mese,inflazione: (Italia),abbonamento treno: (Italia),abbonamento autobus: (Italia),pedaggio autostrada: (Italia),assicurazione auto: (Italia)
2022-05,29,4,2,11,71
2022-06,36,4,2,15,71
2022-07,32,4,2,15,66
2022-08,24,6,4,16,60
2022-09,32,15,9,12,69
2022-10,33,9,4,10,66
2022-11,36,6,2,9,65
2022-12,29,4,2,8,65
2023-01,38,6,2,10,78
2023-02,32,5,2,8,76
2023-03,37,4,2,9,77
2023-04,26,5,2,11,77
2023-05,28,4,2,9,80
2023-06,28,4,2,12,88
2023-07,26,5,2,13,99
2023-08,28,6,4,14,78
2023-09,31,14,7,10,84
2023-10,50,8,4,9,88
2023-11,32,5,3,8,79
2023-12,23,4,2,8,81
2024-01,27,5,2,8,100
2024-02,26,5,2,7,82
2024-03,23,4,1,8,81
2024-04,22,4,2,10,78
2024-05,23,4,2,10,85
2024-06,19,5,2,11,81
2024-07,16,4,2,13,84
2024-08,15,6,3,13,74
2024-09,18,12,6,10,85
2024-10,21,7,3,10,88
2024-11,22,5,2,10,83
2024-12,20,3,1,10,77
2025-01,23,5,2,10,94
