Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo benzina: (Italia),prezzo diesel: (Italia),bolletta luce: (Italia),bolletta gas: (Italia)
2017-07,3,5,6,1,2
2017-08,3,5,6,1,2
2017-09,4,5,7,1,2
2017-10,4,5,6,2,2
2017-11,5,5,6,2,2
2017-12,4,4,6,1,3
2018-01,6,5,7,2,3
2018-02,6,5,6,6,3
2018-03,5,5,6,2,3
2018-04,5,5,5,2,2
2018-05,7,6,5,2,3
2018-06,5,7,5,2,2
2018-07,3,7,5,2,2
2018-08,4,7,5,1,2
2018-09,4,6,6,2,2
2018-10,5,8,6,2,2
2018-11,5,9,6,2,2
2018-12,5,7,5,2,3
2019-01,6,8,6,2,3
2019-02,6,7,5,3,4
2019-03,5,6,5,3,4
2019-04,4,8,5,2,3
2019-05,5,6,5,2,3
2019-06,5,6,5,2,2
2019-07,3,6,5,2,2
2019-08,3,7,6,2,2
2019-09,4,7,6,3,2
2019-10,5,6,6,2,2
2019-11,4,6,6,2,3
2019-12,4,5,5,2,3
2020-01,5,8,7,3,3
2020-02,5,7,6,3,3
2020-03,7,9,4,3,3
2020-04,9,14,4,3,4
2020-05,9,8,4,2,3
2020-06,5,8,6,3,2
2020-07,3,7,7,2,2
2020-08,3,8,7,2,2
2020-09,4,7,7,2,2
2020-10,4,6,6,2,2
2020-11,5,5,5,2,2
2020-12,4,5,5,3,3
2021-01,6,7,6,3,4
2021-02,8,7,7,3,3
2021-03,8,7,6,3,4
2021-04,6,6,6,3,3
2021-05,8,7,6,3,2
2021-06,6,7,5,2,2
2021-07,5,9,6,2,2
2021-08,4,8,7,2,2
2021-09,6,8,7,4,3
2021-10,8,14,9,3,3
2021-11,11,9,7,3,3
2021-12,11,6,6,3,3
2022-01,13,9,7,5,6
2022-02,15,19,11,7,9
2022-03,16,100,23,7,9
2022-04,14,13,9,5,6
2022-05,15,13,8,4,4
2022-06,19,27,10,4,3
2022-07,17,18,9,4,3
2022-08,14,15,10,5,4
2022-09,18,13,9,8,6
2022-10,20,13,9,7,6
2022-11,21,12,8,6,5
2022-12,16,13,8,5,5
2023-01,21,26,11,6,7
2023-02,18,14,10,6,7
2023-03,20,11,8,5,5
2023-04,14,11,9,4,4
2023-05,16,10,8,4,4
2023-06,15,11,8,4,3
2023-07,15,13,9,4,3
2023-08,15,22,12,4,3
2023-09,18,18,11,5,3
2023-10,29,15,10,5,4
2023-11,18,12,11,5,4
2023-12,13,12,10,5,5
2024-01,16,13,11,6,8
2024-02,14,12,9,5,8
2024-03,12,11,8,5,7
2024-04,12,12,8,4,5
2024-05,13,11,8,4,4
2024-06,11,11,8,4,3
2024-07,9,11,8,4,3
2024-08,9,12,8,4,3
2024-09,10,12,10,5,3
2024-10,11,11,9,5,3
2024-11,12,10,9,5,4
2024-12,11,10,9,4,4
2025-01,12,12,9,5,8
