Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo pane: (Italia),prezzo latte: (Italia),prezzo pasta: (Italia),prezzo olio: (Italia)
2014-05,23,3,10,8,28
2014-06,20,3,9,7,24
2014-07,15,2,9,7,25
2014-08,19,3,10,7,26
2014-09,18,3,10,8,24
2014-10,18,4,11,9,29
2014-11,16,4,11,10,34
2014-12,18,4,12,11,28
2015-01,27,4,12,9,28
2015-02,21,4,12,10,26
2015-03,22,4,12,9,31
2015-04,18,3,11,8,29
2015-05,21,3,10,9,30
2015-06,19,2,10,7,27
2015-07,13,2,10,6,29
2015-08,12,3,10,7,27
2015-09,14,3,10,8,26
2015-10,16,3,11,10,35
2015-11,17,4,13,10,44
2015-12,19,4,10,12,33
2016-01,21,4,11,10,36
2016-02,22,4,11,11,33
2016-03,17,3,13,9,32
2016-04,18,3,13,9,31
2016-05,17,3,12,9,29
2016-06,16,2,11,8,28
2016-07,11,2,9,7,27
2016-08,9,2,10,7,23
2016-09,12,3,10,8,26
2016-10,14,4,12,10,34
2016-11,15,4,13,11,36
2016-12,15,4,12,12,30
2017-01,24,3,12,9,32
2017-02,21,3,12,8,29
2017-03,21,3,10,9,28
2017-04,21,3,11,9,27
2017-05,21,3,10,8,26
2017-06,15,2,10,7,27
2017-07,11,2,9,8,26
2017-08,11,2,9,7,27
2017-09,14,3,9,10,26
2017-10,14,3,9,9,36
2017-11,17,3,11,11,43
2017-12,15,3,10,12,32
2018-01,23,3,11,9,30
2018-02,23,4,11,9,28
2018-03,18,3,11,9,26
2018-04,17,3,10,7,26
2018-05,24,2,10,8,25
2018-06,18,2,9,7,24
2018-07,12,2,9,7,24
2018-08,13,2,8,8,22
2018-09,16,2,8,8,24
2018-10,18,3,9,9,30
2018-11,20,3,10,9,35
2018-12,17,3,9,10,25
2019-01,22,3,9,10,24
2019-02,21,3,25,9,22
2019-03,17,3,10,8,23
2019-04,16,3,9,8,21
2019-05,17,3,9,8,22
2019-06,19,2,8,7,19
2019-07,12,2,9,6,20
2019-08,11,2,8,7,20
2019-09,13,3,8,7,22
2019-10,16,3,10,9,29
2019-11,16,3,10,10,35
2019-12,15,3,9,10,28
2020-01,19,3,9,9,25
2020-02,16,3,9,8,24
2020-03,24,4,10,8,17
2020-04,31,7,13,13,24
2020-05,32,4,10,11,26
2020-06,18,3,9,9,26
2020-07,11,2,9,8,23
2020-08,12,3,9,8,24
2020-09,13,3,9,9,24
2020-10,14,3,9,10,32
2020-11,18,4,10,11,35
2020-12,16,4,9,14,27
2021-01,21,4,10,11,26
2021-02,28,3,10,11,27
2021-03,28,4,10,10,25
2021-04,23,3,10,10,24
2021-05,30,3,9,9,23
2021-06,22,2,8,8,23
2021-07,17,2,7,7,22
2021-08,14,3,8,8,22
2021-09,22,4,8,8,25
2021-10,30,3,9,8,31
2021-11,40,4,9,9,36
2021-12,41,3,8,11,27
2022-01,46,3,9,11,24
2022-02,55,4,10,11,25
2022-03,56,7,12,15,37
2022-04,46,4,11,11,30
2022-05,58,4,11,9,32
2022-06,71,3,10,10,29
2022-07,64,3,10,8,27
2022-08,47,4,10,10,29
2022-09,63,5,12,11,29
2022-10,65,5,12,12,43
2022-11,72,4,12,12,41
2022-12,58,4,12,14,32
2023-01,75,4,13,11,30
2023-02,64,4,12,12,30
2023-03,73,4,11,12,30
2023-04,52,4,12,12,29
2023-05,55,4,11,10,28
2023-06,56,2,11,9,28
2023-07,52,3,9,9,31
2023-08,55,4,10,13,32
2023-09,61,4,10,11,36
2023-10,100,4,10,12,49
2023-11,64,5,11,12,63
2023-12,46,4,11,14,44
2024-01,54,4,11,13,38
2024-02,51,3,10,9,30
2024-03,46,3,10,9,29
2024-04,43,3,9,8,27
2024-05,45,3,8,8,27
2024-06,38,3,8,7,24
2024-07,32,2,8,8,24
2024-08,31,3,8,7,25
2024-09,35,3,8,7,28
2024-10,42,3,9,9,42
2024-11,44,5,9,10,48
2024-12,40,4,10,11,33
2025-01,45,3,10,9,27
